"Sample","Depth","BicarbPi","BicarbPt","BicarbPo","NaOHPi","NaOHPt","NaOHPo","TotalP","TopoType","Rep","NA","NA"
"Ridge 1","0-15",0,11.69448,11.69448,17.88264,76.14561,58.26297,87.84009,"July 2015","Post-drought","Ridge",1
"Ridge 2","0-15",0,11.69448,11.69448,22.129767,87.28887,65.159103,98.98335,"July 2015","Post-drought","Ridge",2
"Ridge 3","0-15",0,11.69448,11.69448,24.812163,131.86191,107.049747,143.55639,"July 2015","Post-drought","Ridge",3
"Ridge 4","0-15",0.223533000000001,13.36512,13.141587,23.247432,111.4326,88.185168,124.79772,"July 2015","Post-drought","Ridge",4
"Ridge 5","0-15",0.894132,11.69448,10.800348,30.176955,144.86238,114.685425,156.55686,"July 2015","Post-drought","Ridge",5
"Ridge 6","0-15",0,13.36512,13.36512,26.153361,150.43401,124.280649,163.79913,"July 2015","Post-drought","Ridge",6
"Mid-slope 1","0-15",0.223533000000001,15.03576,14.812227,32.412285,128.14749,95.735205,143.18325,"July 2015","Post-drought","Mid-slope",1
"Mid-slope 2","0-15",0,13.36512,13.36512,18.329706,128.14749,109.817784,141.51261,"July 2015","Post-drought","Mid-slope",2
"Mid-slope 3","0-15",-0.223533,11.69448,11.918013,18.106173,111.4326,93.326427,123.12708,"July 2015","Post-drought","Mid-slope",3
"Mid-slope 4","0-15",-0.223533,11.69448,11.918013,12.964914,104.00376,91.038846,115.69824,"July 2015","Post-drought","Mid-slope",4
"Mid-slope 5","0-15",-0.223533,18.37704,18.600573,13.41198,91.00329,77.59131,109.38033,"July 2015","Post-drought","Mid-slope",5
"Mid-slope 6","0-15",0.223533000000001,13.36512,13.141587,32.635818,131.86191,99.226092,145.22703,"July 2015","Post-drought","Mid-slope",6
"Low-slope 1","0-15",0,10.02384,10.02384,13.635513,40.85862,27.223107,50.88246,"July 2015","Post-drought","Low-slope",1
"Low-slope 2","0-15",-0.223533,11.69448,11.918013,15.870843,87.28887,71.418027,98.98335,"July 2015","Post-drought","Low-slope",2
"Low-slope 3","0-15",0.670599000000002,11.69448,11.023881,36.659412,137.43354,100.774128,149.12802,"July 2015","Post-drought","Low-slope",3
"Low-slope 4","0-15",0.223533000000001,23.38896,23.165427,19.894437,96.57492,76.680483,119.96388,"July 2015","Post-drought","Low-slope",4
"Low-slope 5","0-15",0,23.38896,23.38896,19.670904,94.71771,75.046806,118.10667,"July 2015","Post-drought","Low-slope",5
"Low-slope 6","0-15",0.223533000000001,25.0596,24.836067,20.565036,89.14608,68.581044,114.20568,"July 2015","Post-drought","Low-slope",6
"Valley 1","0-15",0.894132,25.0596,24.165468,36.659412,98.43213,61.772718,123.49173,"July 2015","Post-drought","Valley",1
"Valley 2","0-15",0.670599000000002,23.38896,22.718361,29.729889,91.00329,61.273401,114.39225,"July 2015","Post-drought","Valley",2
"Valley 3","0-15",1.117665,30.07152,28.953855,39.118275,113.28981,74.171535,143.36133,"July 2015","Post-drought","Valley",3
"Valley 4","0-15",1.117665,28.40088,27.283215,36.435879,96.57492,60.139041,124.9758,"July 2015","Post-drought","Valley",4
"Valley 5","0-15",2.458863,30.07152,27.612657,55.88325,120.71865,64.8354,150.79017,"July 2015","Post-drought","Valley",5
"Valley 6","0-15",0.894132,26.73024,25.836108,31.965219,107.71818,75.752961,134.44842,"July 2015","Post-drought","Valley",6
"Ridge 1","15-30",-0.223533,3.34128,3.564813,15.870843,42.71583,26.844987,46.05711,"July 2015","Post-drought","Ridge",1
"Ridge 2","15-30",-0.223533,1.67064,1.894173,11.847249,42.71583,30.868581,44.38647,"July 2015","Post-drought","Ridge",2
"Ridge 3","15-30",-0.223533,1.67064,1.894173,14.082579,46.43025,32.347671,48.10089,"July 2015","Post-drought","Ridge",3
